old_folder_name,old_id,new,new url,old url
a_comprehensive_guide_creating_graphql_api_on_top_of_snowflake_using_propel,a_comprehensive_guide_creating_graphql_api_on_top_of_snowflake_using_propel,a-comprehensive-guide-creating-graphql-api-on-top-of-snowflake-using-propel,https://www.snowflake.com/en/developers/guides/a-comprehensive-guide-creating-graphql-api-on-top-of-snowflake-using-propel/,https://quickstarts.snowflake.com/guide/a_comprehensive_guide_creating_graphql_api_on_top_of_snowflake_using_propel
a_comprehensive_guide_to_ingesting_data_into_snowflake,a_comprehensive_guide_to_ingesting_data_into_snowflake,a-comprehensive-guide-to-ingesting-data-into-snowflake,https://www.snowflake.com/en/developers/guides/a-comprehensive-guide-to-ingesting-data-into-snowflake/,https://quickstarts.snowflake.com/guide/a_comprehensive_guide_to_ingesting_data_into_snowflake
a_dataiku_and_snowflake_guide_to_data_science,a_dataiku_and_snowflake_guide_to_data_science,a-dataiku-and-snowflake-guide-to-data-science,https://www.snowflake.com/en/developers/guides/a-dataiku-and-snowflake-guide-to-data-science/,https://quickstarts.snowflake.com/guide/a_dataiku_and_snowflake_guide_to_data_science
a_faster_path_to_operational_ai_with_continual_and_snowflake,A Faster Path to Operational AI with Continual and Snowflake,a-faster-path-to-operational-ai-with-continual-and-snowflake,https://www.snowflake.com/en/developers/guides/a-faster-path-to-operational-ai-with-continual-and-snowflake/,https://quickstarts.snowflake.com/guide/A Faster Path to Operational AI with Continual and Snowflake
a_guide_to_implementing_a_pipeline_for_dcm,a_guide_to_implementing_a_pipeline_for_database_change_management,a-guide-to-implementing-a-pipeline-for-database-change-management,https://www.snowflake.com/en/developers/guides/a-guide-to-implementing-a-pipeline-for-database-change-management/,https://quickstarts.snowflake.com/guide/a_guide_to_implementing_a_pipeline_for_database_change_management
a_guide_to_kipi_marketing_mix_modelling_and_analytics_app,a_guide_to_kipi_marketing_mix_modelling_analytics_app,a-guide-to-kipi-marketing-mix-modelling-analytics-app,https://www.snowflake.com/en/developers/guides/a-guide-to-kipi-marketing-mix-modelling-analytics-app/,https://quickstarts.snowflake.com/guide/a_guide_to_kipi_marketing_mix_modelling_analytics_app
a_no_code_approach_to_machine_learning_with_snowflake_and_dataiku,a_no_code_approach_to_machine_learning_with_snowflake_and_dataiku,a-no-code-approach-to-machine-learning-with-snowflake-and-dataiku,https://www.snowflake.com/en/developers/guides/a-no-code-approach-to-machine-learning-with-snowflake-and-dataiku/,https://quickstarts.snowflake.com/guide/a_no_code_approach_to_machine_learning_with_snowflake_and_dataiku
a_postman_tutorial_for_snowflake_sql_api,a_postman_tutorial_for_snowflake_sql_api,a-postman-tutorial-for-snowflake-sql-api,https://www.snowflake.com/en/developers/guides/a-postman-tutorial-for-snowflake-sql-api/,https://quickstarts.snowflake.com/guide/a_postman_tutorial_for_snowflake_sql_api
entity_resolution,abt-bestbuy-entity-resolution,abt-bestbuy-entity-resolution,https://www.snowflake.com/en/developers/guides/abt-bestbuy-entity-resolution/,https://quickstarts.snowflake.com/guide/abt-bestbuy-entity-resolution
Accelerate_Data_Transformation_with_the_Telecom_Data_Cloud,Accelerate_Data_Transformation_with_the_Telecom_Data_Cloud,accelerate-data-transformation-with-the-telecom-data-cloud,https://www.snowflake.com/en/developers/guides/accelerate-data-transformation-with-the-telecom-data-cloud/,https://quickstarts.snowflake.com/guide/Accelerate_Data_Transformation_with_the_Telecom_Data_Cloud
accelerate_your_graphql_development_on_snowflake_with_hasura,accelerate_your_graphql_development_on_snowflake_with_hasura,accelerate-your-graphql-development-on-snowflake-with-hasura,https://www.snowflake.com/en/developers/guides/accelerate-your-graphql-development-on-snowflake-with-hasura/,https://quickstarts.snowflake.com/guide/accelerate_your_graphql_development_on_snowflake_with_hasura
