archived_id,found_path,action,note
auto_ingest_twitter_data,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/auto_ingest_twitter_data,moved,target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/auto_ingest_twitter_data
recommendation_engine_aws_sagemaker,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/recommendation_engine_aws_sagemaker,moved,target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/recommendation_engine_aws_sagemaker
recommendation_engine_aws_sagemaker,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/recommendation_engine_aws_sagemaker/recommendation_engine_aws_sagemaker.md,failed,[Errno 2] No such file or directory: '/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/recommendation_engine_aws_sagemaker/recommendation_engine_aws_sagemaker.md'
data_science_with_dataiku,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/data_science_with_dataiku,moved,target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/data_science_with_dataiku
data_science_with_dataiku,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/data_science_with_dataiku/data_science_with_dataiku.md,failed,[Errno 2] No such file or directory: '/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/data_science_with_dataiku/data_science_with_dataiku.md'
machine_learning_with_saturncloud,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/machine_learning_with_saturncloud,moved,target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/machine_learning_with_saturncloud
machine_learning_with_saturncloud,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/machine_learning_with_saturncloud/machine_learning_with_saturncloud.md,failed,[Errno 2] No such file or directory: '/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/machine_learning_with_saturncloud/machine_learning_with_saturncloud.md'
dota2_game_replay_parser,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/dota2_game_replay_parser,moved,target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/dota2_game_replay_parser
dota2_game_replay_parser,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/dota2_game_replay_parser/dota2_game_replay_parser.md,failed,[Errno 2] No such file or directory: '/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/dota2_game_replay_parser/dota2_game_replay_parser.md'
getting_started_external_functions_gcc,/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/getting_started_external_functions_gcc,moved,target=/Users/kanwal.komailsnowflake.com/Documents/sfquickstarts/site/sfguides/src/_archived/getting_started_external_functions_gcc
