path,id_in_file,old_categories,old_tags,new_categories,status,updated
site/sfguides/src/hex_snowflake_ml_functions/snowflake_ml_functions.md,building_ml_models_in_minutes_with_hex_and_snowflake_ml_functions,"data-science-&-ml,partner-integrations","Hex, Notebooks, Partner Connect","snowflake-site:taxonomy/solution-center/certification/quickstart, snowflake-site:taxonomy/solution-center/certification/community-solution, snowflake-site:taxonomy/solution-center/includes/architecture, snowflake-site:taxonomy/product/data-engineering",mapped,updated
site/sfguides/src/h2o/h2o.md,automl_with_snowflake_and_h2o,"data-science-&-ml,partner-integrations","H2O, AutoML, Partner Connect, Databases, Tables, Stages, File Formats","snowflake-site:taxonomy/solution-center/certification/quickstart, snowflake-site:taxonomy/solution-center/certification/partner-solution, snowflake-site:taxonomy/product/data-engineering",mapped,updated
site/sfguides/src/tasty_bytes_zero_to_snowflake_governance_with_horizon/tb_zts_governance_with_horizon.md,tasty_bytes_zero_to_snowflake_governance_with_horizon,"Tasty-Bytes, Getting-Started, Featured","Getting Started, Tasty Bytes, Zero to Snowflake, Data Governance","snowflake-site:taxonomy/solution-center/certification/quickstart, snowflake-site:taxonomy/product/data-engineering",mapped,updated
site/sfguides/src/data_engineering_pipelines_with_snowpark_python/data_engineering_pipelines_with_snowpark_python.md,data_engineering_pipelines_with_snowpark_python,"featured,data-engineering","Data Engineering, Snowpark, Python","snowflake-site:taxonomy/solution-center/certification/quickstart, snowflake-site:taxonomy/solution-center/certification/community-solution, snowflake-site:taxonomy/solution-center/includes/architecture, snowflake-site:taxonomy/product/data-engineering, snowflake-site:taxonomy/snowflake-feature/transformation",mapped,updated
site/sfguides/src/medical_images_classification_using_pytorch/medical_images_classification_using_pytorch.md,medical_images_classification_using_pytorch,Getting-Started,"Getting Started, Data Science, Data Engineering, Twitter","snowflake-site:taxonomy/solution-center/certification/quickstart, snowflake-site:taxonomy/solution-center/certification/certified-solution, snowflake-site:taxonomy/solution-center/includes/architecture, snowflake-site:taxonomy/industry/healthcare-and-life-sciences, snowflake-site:taxonomy/product/ai, snowflake-site:taxonomy/snowflake-feature/model-development",mapped,updated
site/sfguides/src/getting_started_cost_performance_optimization/getting_started_cost_performance_optimization.md,getting_started_cost_performance_optimization,Getting-Started,"Optimization, Performance, Cost","snowflake-site:taxonomy/solution-center/certification/quickstart, snowflake-site:taxonomy/product/platform",mapped,updated
site/sfguides/src/call_centre_analytics_with_snowflake_cortex_and_spcs/call_centre_analytics_with_snowflake_cortex_and_spcs.md,call_centre_analytics_with_snowflake_cortex_and_spcs,"Getting-Started,data-science, gen-ai","Getting Started, Gen AI, Data Engineering, Snowpark , Python , Snowflake Cortex, Snowpark Container Services,Vectors, Embeddings,Streamlit","snowflake-site:taxonomy/solution-center/certification/quickstart, snowflake-site:taxonomy/product/ai, snowflake-site:taxonomy/product/analytics, snowflake-site:taxonomy/snowflake-feature/build, snowflake-site:taxonomy/snowflake-feature/cortex-llm-functions, snowflake-site:taxonomy/snowflake-feature/snowpark-container-services",mapped,updated
site/sfguides/src/getting_started_with_Iceberg_in_OneLake/getting_started_with_iceberg_in_oneLake.md,getting_started_with_iceberg_in_oneLake,"Getting-Started, data-engineering, azure, iceberg, Microsoft, Fabric, OneLake, search","Getting Started, Data Engineering","snowflake-site:taxonomy/solution-center/certification/quickstart, snowflake-site:taxonomy/product/data-engineering, snowflake-site:taxonomy/snowflake-feature/apache-iceberg",mapped,updated
site/sfguides/src/getting_started_with_dataengineering_ml_using_snowpark_python_ptbr/getting_started_with_dataengineering_ml_using_snowpark_python_ptbr.md,getting_started_with_dataengineering_ml_using_snowpark_python_ptr,"featured,getting-started,data-science-&-ml,data-engineering,app-development","Getting Started, Snowpark Python, Streamlit, scikit-learn, Data Engineering, Machine Learning, Introdução, Engenharia de dados, Aprendizado de máquina, ptbr","snowflake-site:taxonomy/solution-center/certification/quickstart, snowflake-site:taxonomy/product/ai, snowflake-site:taxonomy/snowflake-feature/ml-functions",mapped,updated
site/sfguides/src/orchestrate-llm-evaluations-with-evalanche/orchestrate-llm-evaluations-with-evalanche.md,orchestrate-llm-evaluations-with-evalanche,data-science-&-ai,"LLM, AI, Cortex AI","snowflake-site:taxonomy/solution-center/certification/quickstart, snowflake-site:taxonomy/solution-center/certification/certified-solution, snowflake-site:taxonomy/solution-center/includes/architecture, snowflake-site:taxonomy/product/ai, snowflake-site:taxonomy/snowflake-feature/ml-functions",mapped,updated
