claim_id,customer_id,claim_date,claim_amount,claim_type,status,adjuster_id
CL000001,C00691,2025-05-07,11344.1,Theft,Under Review,ADJ028
CL000002,C00828,2022-05-21,685.17,Collision,Open,ADJ025
CL000003,C00149,2023-01-05,1976.02,Medical,Closed,ADJ019
CL000004,C00700,2022-12-09,4133.13,Collision,Under Review,ADJ014
CL000005,C00772,2022-05-23,8347.0,Medical,Approved,ADJ007
CL000006,C00631,2023-08-27,13086.51,Theft,Closed,ADJ048
CL000007,C00663,2023-09-03,8638.42,Property,Denied,ADJ045
CL000008,C00295,2025-08-02,10547.57,Collision,Approved,ADJ025
CL000009,C00427,2025-03-01,14372.18,Medical,Denied,ADJ004
CL000010,C00014,2025-08-09,11283.21,Property,Denied,ADJ050
CL000011,C00882,2025-07-20,13116.71,Property,Under Review,ADJ049
CL000012,C00603,2025-02-04,17722.97,Property,Under Review,ADJ029
CL000013,C00182,2021-04-24,14760.07,Collision,Closed,ADJ012
CL000014,C00753,2022-07-31,7950.78,Liability,Open,ADJ028
CL000015,C00286,2024-01-08,13970.78,Theft,Under Review,ADJ001
CL000016,C00339,2024-12-11,7261.8,Property,Open,ADJ010
CL000017,C00951,2024-11-17,5178.14,Collision,Denied,ADJ043
CL000018,C00309,2022-11-03,7612.99,Theft,Denied,ADJ023
CL000019,C00075,2024-05-24,11868.46,Medical,Denied,ADJ015
CL000020,C00980,2025-06-22,3166.1,Collision,Denied,ADJ011
CL000021,C00426,2023-11-15,15940.48,Medical,Closed,ADJ014
CL000022,C00680,2025-05-15,9885.14,Property,Denied,ADJ034
CL000023,C00487,2022-10-10,14951.15,Collision,Open,ADJ043
CL000024,C00355,2025-05-07,6962.18,Theft,Denied,ADJ016
CL000025,C00982,2025-06-28,2572.27,Liability,Open,ADJ025
CL000026,C00263,2025-07-30,14857.1,Theft,Under Review,ADJ033
CL000027,C00823,2025-06-11,15649.4,Medical,Closed,ADJ021
CL000028,C00527,2024-02-01,1694.01,Collision,Closed,ADJ050
CL000029,C00551,2025-04-28,8231.48,Collision,Closed,ADJ043
CL000030,C00645,2025-08-10,27709.99,Liability,Open,ADJ014
CL000031,C00551,2025-05-04,12516.86,Liability,Open,ADJ048
CL000032,C00703,2024-01-23,5347.59,Medical,Open,ADJ006
CL000033,C00076,2025-07-05,1286.89,Medical,Denied,ADJ005
CL000034,C00589,2023-03-09,12413.48,Medical,Approved,ADJ025
CL000035,C00462,2023-08-20,18630.79,Collision,Approved,ADJ044
CL000036,C00122,2025-07-07,8255.1,Theft,Open,ADJ049
CL000037,C00764,2024-06-14,8991.32,Collision,Under Review,ADJ033
CL000038,C00109,2021-12-26,10279.38,Theft,Open,ADJ019
CL000039,C00784,2025-07-01,13937.02,Liability,Approved,ADJ043
CL000040,C00032,2021-12-06,7372.82,Theft,Closed,ADJ009
CL000041,C00765,2023-02-14,14174.08,Theft,Under Review,ADJ041
CL000042,C00148,2024-10-30,4821.82,Medical,Open,ADJ036
CL000043,C00896,2025-07-18,8548.51,Collision,Open,ADJ001
CL000044,C00587,2021-09-12,18642.99,Collision,Under Review,ADJ014
CL000045,C00767,2025-08-12,11250.74,Medical,Closed,ADJ027
CL000046,C00928,2025-05-07,9866.01,Theft,Closed,ADJ011
CL000047,C00189,2024-07-07,3701.43,Medical,Closed,ADJ008
CL000048,C00186,2025-03-09,21146.71,Collision,Denied,ADJ030
CL000049,C00661,2024-09-10,8470.14,Medical,Open,ADJ017
CL000050,C00101,2023-02-06,3362.56,Theft,Approved,ADJ022
CL000051,C00366,2024-10-22,2359.12,Property,Open,ADJ019
CL000052,C00635,2024-11-17,1512.23,Property,Under Review,ADJ032
CL000053,C00462,2024-10-06,11360.76,Theft,Closed,ADJ037
CL000054,C00581,2024-11-28,5785.15,Medical,Approved,ADJ011
CL000055,C00005,2024-07-27,11523.42,Liability,Under Review,ADJ024
CL000056,C00138,2024-09-10,10353.91,Medical,Approved,ADJ030
CL000057,C00457,2025-07-04,5701.75,Medical,Approved,ADJ036
CL000058,C00112,2024-07-15,3048.67,Theft,Open,ADJ018
CL000059,C00880,2025-06-25,12483.43,Theft,Closed,ADJ017
CL000060,C00752,2023-07-19,21048.72,Collision,Open,ADJ033
CL000061,C00647,2025-07-31,1982.62,Liability,Denied,ADJ014
CL000062,C00929,2024-08-06,1031.52,Medical,Denied,ADJ035
CL000063,C00484,2024-07-18,16456.11,Liability,Closed,ADJ050
CL000064,C00604,2024-10-10,19937.02,Liability,Denied,ADJ033
CL000065,C00093,2025-07-27,6253.38,Theft,Open,ADJ043
CL000066,C00245,2023-07-04,12795.74,Theft,Closed,ADJ049
CL000067,C00527,2024-12-23,2535.38,Property,Closed,ADJ037
CL000068,C00972,2025-04-16,8704.28,Property,Approved,ADJ023
CL000069,C00042,2023-10-09,3672.88,Liability,Closed,ADJ005
CL000070,C00271,2025-07-26,5856.81,Collision,Closed,ADJ034
CL000071,C00930,2023-06-21,11976.18,Liability,Approved,ADJ030
CL000072,C00903,2023-07-13,1173.34,Medical,Open,ADJ046
CL000073,C00992,2025-03-02,18776.74,Medical,Denied,ADJ035
CL000074,C00584,2024-12-08,6505.87,Medical,Denied,ADJ042
CL000075,C00920,2025-06-28,12614.3,Theft,Under Review,ADJ025
CL000076,C00997,2024-07-16,13655.02,Theft,Approved,ADJ023
CL000077,C00837,2025-07-22,13081.93,Liability,Approved,ADJ039
CL000078,C00007,2024-08-09,7776.64,Property,Approved,ADJ011
CL000079,C00236,2025-05-07,3467.67,Property,Closed,ADJ012
CL000080,C00162,2024-05-30,12754.44,Collision,Closed,ADJ027
CL000081,C00831,2024-07-01,5288.26,Collision,Approved,ADJ044
CL000082,C00491,2025-08-02,7445.81,Theft,Closed,ADJ042
CL000083,C00854,2023-05-27,11260.69,Property,Denied,ADJ038
CL000084,C00165,2023-01-27,2453.5,Theft,Open,ADJ037
CL000085,C00151,2023-07-22,1310.72,Medical,Closed,ADJ034
CL000086,C00982,2025-07-29,15751.59,Collision,Under Review,ADJ006
CL000087,C00222,2025-07-10,7013.45,Liability,Approved,ADJ011
CL000088,C00225,2025-06-02,12540.27,Theft,Closed,ADJ038
CL000089,C00841,2025-07-01,11628.61,Theft,Denied,ADJ017
CL000090,C00172,2024-12-28,11000.71,Medical,Approved,ADJ039
CL000091,C00605,2024-06-22,1498.22,Liability,Approved,ADJ009
CL000092,C00112,2025-08-10,740.16,Theft,Denied,ADJ044
CL000093,C00430,2023-08-17,12484.46,Theft,Open,ADJ012
CL000094,C00488,2024-05-08,28501.44,Theft,Denied,ADJ049
CL000095,C00121,2025-01-01,1851.25,Property,Denied,ADJ035
CL000096,C00848,2025-04-19,517.4,Liability,Denied,ADJ027
CL000097,C00380,2024-09-14,13184.95,Theft,Approved,ADJ015
CL000098,C00961,2022-10-08,27779.99,Liability,Under Review,ADJ038
CL000099,C00824,2024-04-02,25442.8,Theft,Open,ADJ028
CL000100,C00138,2025-05-10,4190.51,Property,Open,ADJ019
CL000101,C00613,2024-03-26,13213.11,Liability,Under Review,ADJ013
CL000102,C00006,2025-07-23,10782.66,Collision,Denied,ADJ034
CL000103,C00121,2025-06-18,8036.55,Liability,Closed,ADJ045
CL000104,C00824,2022-01-20,9461.4,Property,Approved,ADJ042
CL000105,C00600,2025-05-11,4177.67,Theft,Approved,ADJ037
CL000106,C00375,2025-01-02,9372.27,Liability,Closed,ADJ027
CL000107,C00566,2024-12-18,11864.93,Liability,Closed,ADJ024
CL000108,C00573,2024-09-06,14988.16,Medical,Denied,ADJ023
CL000109,C00793,2020-10-10,23989.21,Collision,Closed,ADJ029
CL000110,C00802,2025-04-17,10640.02,Property,Open,ADJ014
CL000111,C00521,2023-07-14,11597.11,Theft,Denied,ADJ045
CL000112,C00701,2024-12-10,10748.45,Property,Approved,ADJ041
CL000113,C00006,2024-01-10,12163.36,Property,Approved,ADJ039
CL000114,C00446,2022-10-19,1778.04,Medical,Closed,ADJ024
CL000115,C00082,2023-06-27,9330.92,Liability,Approved,ADJ040
CL000116,C00672,2024-12-24,8054.58,Theft,Open,ADJ050
CL000117,C00840,2023-12-13,3041.43,Liability,Approved,ADJ001
CL000118,C00207,2024-09-30,12833.23,Theft,Under Review,ADJ013
CL000119,C00035,2025-06-04,23860.0,Property,Denied,ADJ011
CL000120,C00691,2025-02-27,1022.89,Property,Open,ADJ011
CL000121,C00089,2025-05-14,14953.85,Liability,Under Review,ADJ043
CL000122,C00405,2024-08-19,10846.35,Collision,Open,ADJ006
CL000123,C00563,2025-08-02,4625.16,Theft,Denied,ADJ023
CL000124,C00356,2023-07-01,14467.67,Medical,Closed,ADJ039
CL000125,C00987,2025-05-31,3320.62,Liability,Denied,ADJ001
