"SHIPMENT_ID","PLANNED_TRANSIT_DAYS","ACTUAL_TRANSIT_DAYS","DELAY_DAYS","DELAY_REASON","ON_TIME_FLAG"
"SH-00001",11,11,0,"NONE",true
"SH-00002",5,\\N,\\N,"NONE",\\N
"SH-00003",11,11,0,"NONE",true
"SH-00004",5,\\N,\\N,"NONE",\\N
"SH-00005",11,\\N,\\N,"NONE",\\N
"SH-00006",7,8,1,"PORT_CONGESTION",false
"SH-00007",10,9,0,"NONE",true
"SH-00008",3,3,0,"NONE",true
"SH-00009",5,5,0,"NONE",true
"SH-00010",6,5,0,"NONE",true
"SH-00011",5,5,0,"NONE",true
"SH-00012",11,11,0,"NONE",true
"SH-00013",7,7,0,"NONE",true
"SH-00014",5,5,0,"NONE",true
"SH-00015",11,10,0,"NONE",true
"SH-00016",11,\\N,\\N,"NONE",\\N
"SH-00017",10,9,0,"NONE",true
"SH-00018",11,11,0,"NONE",true
"SH-00019",11,11,0,"NONE",true
"SH-00020",11,10,0,"NONE",true
"SH-00021",2,2,0,"NONE",true
"SH-00022",7,7,0,"NONE",true
"SH-00023",10,10,0,"NONE",true
"SH-00024",6,13,7,"CUSTOMS",false
"SH-00025",5,\\N,\\N,"NONE",\\N
"SH-00026",7,7,0,"NONE",true
"SH-00027",11,\\N,10,"CUSTOMS",\\N
"SH-00028",11,10,0,"NONE",true
"SH-00029",5,5,0,"NONE",true
"SH-00030",12,12,0,"NONE",true
"SH-00031",10,10,0,"NONE",true
"SH-00032",5,5,0,"NONE",true
"SH-00033",10,10,0,"NONE",true
"SH-00034",3,2,0,"NONE",true
"SH-00035",4,\\N,\\N,"NONE",\\N
"SH-00036",5,4,0,"NONE",true
"SH-00037",11,11,0,"NONE",true
"SH-00038",5,5,0,"NONE",true
"SH-00039",3,3,0,"NONE",true
"SH-00040",3,2,0,"NONE",true
"SH-00041",11,10,0,"NONE",true
"SH-00042",5,9,4,"WEATHER",false
"SH-00043",10,10,0,"NONE",true
"SH-00044",5,\\N,\\N,"NONE",\\N
"SH-00045",12,12,0,"NONE",true
"SH-00046",6,6,0,"NONE",true
"SH-00047",10,9,0,"NONE",true
"SH-00048",5,\\N,\\N,"NONE",\\N
"SH-00049",5,10,5,"OTHER",false
"SH-00050",7,7,0,"NONE",true
"SH-00051",10,\\N,\\N,"NONE",\\N
"SH-00052",2,2,0,"NONE",true
"SH-00053",7,10,3,"PORT_CONGESTION",false
"SH-00054",2,2,0,"NONE",true
"SH-00055",10,16,6,"PORT_CONGESTION",false
"SH-00056",6,12,6,"PORT_CONGESTION",false
"SH-00057",11,11,0,"NONE",true
"SH-00058",6,6,0,"NONE",true
"SH-00059",4,\\N,\\N,"NONE",\\N
"SH-00060",5,\\N,3,"CUSTOMS",\\N
"SH-00061",7,6,0,"NONE",true
"SH-00062",11,11,0,"NONE",true
"SH-00063",2,1,0,"NONE",true
"SH-00064",6,\\N,\\N,"NONE",\\N
"SH-00065",6,5,0,"NONE",true
"SH-00066",5,5,0,"NONE",true
"SH-00067",6,\\N,\\N,"NONE",\\N
"SH-00068",7,7,0,"NONE",true
"SH-00069",6,6,0,"NONE",true
"SH-00070",10,10,0,"NONE",true
"SH-00071",10,\\N,\\N,"NONE",\\N
"SH-00072",2,7,5,"WEATHER",false
"SH-00073",3,\\N,\\N,"NONE",\\N
"SH-00074",6,5,0,"NONE",true
"SH-00075",7,\\N,5,"CUSTOMS",\\N
"SH-00076",6,9,4,"MECHANICAL",false
"SH-00077",3,3,0,"NONE",true
"SH-00078",6,13,7,"WEATHER",false
"SH-00079",6,6,0,"NONE",true
"SH-00080",3,3,0,"NONE",true
"SH-00081",5,5,0,"NONE",true
"SH-00082",7,11,4,"MECHANICAL",false
"SH-00083",10,10,0,"NONE",true
"SH-00084",3,3,0,"NONE",true
"SH-00085",5,\\N,\\N,"NONE",\\N
"SH-00086",10,10,0,"NONE",true
"SH-00087",6,6,0,"NONE",true
"SH-00088",2,\\N,\\N,"NONE",\\N
"SH-00089",5,5,0,"NONE",true
"SH-00090",3,\\N,2,"PORT_CONGESTION",\\N
"SH-00091",2,2,0,"NONE",true
"SH-00092",11,\\N,\\N,"NONE",\\N
"SH-00093",6,\\N,\\N,"NONE",\\N
"SH-00094",10,10,0,"NONE",true
"SH-00095",7,\\N,\\N,"NONE",\\N
"SH-00096",5,10,6,"OTHER",false
"SH-00097",10,10,0,"NONE",true
"SH-00098",3,3,0,"NONE",true
"SH-00099",5,4,0,"NONE",true
"SH-00100",12,12,0,"NONE",true
"SH-00101",3,\\N,5,"PORT_CONGESTION",\\N
"SH-00102",4,\\N,8,"PORT_CONGESTION",\\N
"SH-00103",3,\\N,\\N,"NONE",\\N
"SH-00104",5,12,7,"WEATHER",false
"SH-00105",11,10,0,"NONE",true
"SH-00106",7,10,4,"WEATHER",false
"SH-00107",11,\\N,\\N,"NONE",\\N
"SH-00108",11,\\N,\\N,"NONE",\\N
"SH-00109",11,11,0,"NONE",true
"SH-00110",5,4,0,"NONE",true
"SH-00111",3,3,0,"NONE",true
"SH-00112",5,5,0,"NONE",true
"SH-00113",11,11,0,"NONE",true
"SH-00114",11,\\N,\\N,"NONE",\\N
