ORDER_ID|TRUCK_ID|LANGUAGE|SOURCE|REVIEW|PRIMARY_CITY|CUSTOMER_ID|YEAR|MONTH|TRUCK_BRAND
|104|en|3| The food from Nani's Kitchen was disappointing. The Ice Tea was watered down and lacked flavor. The Lean Chicken Tikka Masala was overcooked, dry, and the sauce was too bland. The Tandoori Mixed Grill was not up to the mark, with some pieces being undercooked while others were charred. The overall experience was below expectations and not worth the price paid. I would not recommend this truck to anyone looking for authentic Indian cuisine in Vancouver.|Vancouver||2022|3|Nani's Kitchen
|341|en|3|"""Revenge of the Curds, a poutine truck in Munich, served up a decent experience with the ordered items, The Classic and Mother's Favorite. The Classic, a traditional poutine, was satisfactory with its balance of fries, cheese curds, and gravy. Mother's Favorite, however, was a bit underwhelming, lacking the expected robust flavor. Overall, the truck provided an adequate meal, but there's room for improvement in terms of flavor and consistency."""|Munich||2022|3|Revenge of the Curds
|264|en|3|Disappointing experience with Tasty Tibs in Seoul. The Lean Beef Tibs lacked the authentic Ethiopian flavor I was expecting. The meat was overcooked and tough, making it hard to enjoy. The seasoning was also underwhelming, lacking the rich spices that are a staple in Ethiopian cuisine. The overall dish was dry and unappetizing. I had high hopes for this truck based on its reputation, but unfortunately, it did not live up to my expectations. I wouldn't recommend it to anyone seeking genuine Ethiopian food.|Seoul||2022|3|Tasty Tibs
|361|en|3|"""Freezing Point in Hamburg is a must-visit for ice cream lovers! The Sugar Cone and Two Scoop Bowl were absolutely delightful. The ice cream was creamy and rich, with just the right amount of sweetness. The Sugar Cone added a nice crunch, while the Two Scoop Bowl allowed for a generous serving of my favorite flavors. The bottled water was a thoughtful addition, ensuring a refreshing end to the treat. The service was prompt and friendly. Freezing Point has certainly set a new standard for ice cream trucks. Can't wait to visit again!"""|Hamburg||2022|3|Freezing Point
|222|en|3|The Cheeky Greek truck in Mumbai served up a decent Gyro Plate and Greek Salad. The gyro meat was flavorful and tender, while the salad was fresh and crisp. However, the portion size was a bit smaller than expected. The tzatziki sauce was a highlight, creamy and tangy, it complemented the gyro well. The pita bread could have been warmer and softer. Overall, it was an acceptable meal, but there's room for improvement in terms of portion size and bread quality.|Mumbai||2022|3|Cheeky Greek
|353|en|3|"The chicken pot pie crepe was a disaster. The crepe was dry and flaky, the chicken filling was not flavorful, and the overall dish was very disappointing. The crepe was not cooked evenly, and the filling was not very filling. I would not recommend this dish to anyone.Here is a rewritten version of the review that does not start with ""The,"" ""I,"" or ""Im"":A disappointing dish, the chicken pot pie crepe was. Dry and flaky, the crepe was, and the chicken filling lacked flavor. Unevenly cooked, the crepe was, and the filling was not satisfying. Not recommended, I would not."|Berlin||2022|3|Le Coin des Crêpes
|47|en|3|A well-curated menu at Smoky BBQ in Boston caters to carnivores' desires. Two meat plates showcase an ample assortment of pulled pork and ribs. Notably, the rack of pork ribs is a highly-acclaimed dish. Meat's tenderness and smoky flavor were perfectly balanced. Sides, such as expertly-prepared mashed potatoes and coleslaw, further elevated the dining experience. The food at Smoky BBQ demonstrated delectable flavors, and the service was commendably friendly.|Boston||2022|3|Smoky BBQ
|193|en|3|Combo Fried Rice at Peking Truck in Warsaw offered a satisfactory experience from their Chinese menu. Well-cooked rice and fresh vegetables delivered a pleasant textural contrast. Yet, the dish fell short in terms of flavor depth, veering towards the bland. Generous portion size ensured a satisfying meal conclusion. An average dining encounter, neither extraordinary nor underpar.|Warsaw||2022|3|Peking Truck
|242|en|3|The Smoky BBQ truck in Tokyo is a must-visit! The Spring Mix Salad was fresh and crisp, a perfect starter. The real star, however, was the Pulled Pork Sandwich. Tender, juicy, and packed with flavor, it was an absolute delight. The BBQ sauce was a wonderful blend of tangy and sweet, enhancing the overall taste. The portion sizes were generous, and the service was prompt and friendly. This food truck truly delivers an authentic BBQ experience. Highly recommended!|Tokyo||2022|3|Smoky BBQ
|246|en|3|"The Mega Melt's ""Miss Piggie"" grilled cheese sandwich was an utter disappointment. The bread was limp and soggy, and the cheese was sparse and tasteless. The sandwich's namesake pig was the tiniest and most anemic creature I've ever seen. The entire order was a culinary nightmare, and I would not recommend it to anyone."|Tokyo||2022|3|The Mega Melt
|309|en|3|Tasty Tibs food truck in Sao Paulo delivered a fulfilling Ethiopian meal. Lean Beef Tibs boasted excellent flavor and tender consistency. Veggie Combo was impressively generous, showcasing a delightful array of tastes for vegetarian eaters. Yet, a more pronounced spice would have heightened the authentic Ethiopian flavors' expression. The overall dining experience was commendable, but could benefit from further enhancement in terms of traditional authenticity.|Sao Paulo||2022|3|Tasty Tibs
|309|en|3|Food lacked flavor and intrigue. Meat was overly tough and rubbery in consistency. Vegetables were disappointingly undercooked. Ice tea provided the only delight, offering a refreshing reprieve. Service proved less than satisfactory, plagued by extended wait times and uncouth staff. I cannot in good conscience endorse this restaurant.|Sao Paulo||2022|3|Tasty Tibs
|305|en|3|The Kitakata Ramen Bar was an utter disappointment. The ramen was flavorless and the broth was thin. The chicken in the creamy chicken ramen was tough and the vegetables in the spicy miso vegetable ramen were mushy. The noodles were overcooked and limp. The only redeeming factor was the friendly service. I would not recommend this restaurant to anyone.|Sao Paulo||2022|3|Kitakata Ramen Bar
