OBJECT_NAME,OBJECT_TYPE,SCHEMA,FILE_PATH,STATUS,ERROR_MESSAGE
TastyBytesDB,Database,,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/database/tastybytesdb.sql,Extracted,
TastyBytesDB.dbo,Schema,,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/tastybytesdb/schema/dbo.sql,Extracted,
TastyBytesDB.etl_results,Schema,,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/tastybytesdb/schema/etl_results.sql,Extracted,
TastyBytesDB.TastyBytes,Schema,,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/tastybytesdb/schema/tastybytes.sql,Extracted,
TastyBytesDB.TastyBytes.City,Table,TastyBytes,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/tastybytesdb/tastybytes/table/city.sql,Extracted,
TastyBytesDB.TastyBytes.Country,Table,TastyBytes,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/tastybytesdb/tastybytes/table/country.sql,Extracted,
TastyBytesDB.TastyBytes.Customer,Table,TastyBytes,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/tastybytesdb/tastybytes/table/customer.sql,Extracted,
TastyBytesDB.TastyBytes.EmployeeShift,Table,TastyBytes,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/tastybytesdb/tastybytes/table/employeeshift.sql,Extracted,
TastyBytesDB.etl_results.etl_logs,Table,etl_results,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/tastybytesdb/etl_results/table/etl_logs.sql,Extracted,
TastyBytesDB.TastyBytes.FoodTruck,Table,TastyBytes,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/tastybytesdb/tastybytes/table/foodtruck.sql,Extracted,
TastyBytesDB.TastyBytes.Inventory,Table,TastyBytes,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/tastybytesdb/tastybytes/table/inventory.sql,Extracted,
TastyBytesDB.TastyBytes.Menu,Table,TastyBytes,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/tastybytesdb/tastybytes/table/menu.sql,Extracted,
TastyBytesDB.TastyBytes.MenuItem,Table,TastyBytes,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/tastybytesdb/tastybytes/table/menuitem.sql,Extracted,
TastyBytesDB.TastyBytes.OrderDetail,Table,TastyBytes,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/tastybytesdb/tastybytes/table/orderdetail.sql,Extracted,
TastyBytesDB.TastyBytes.OrderHeader,Table,TastyBytes,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/tastybytesdb/tastybytes/table/orderheader.sql,Extracted,
TastyBytesDB.TastyBytes.vw_ActiveTrucks,View,TastyBytes,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/tastybytesdb/tastybytes/view/vw_activetrucks.sql,Extracted,
TastyBytesDB.TastyBytes.vw_CustomerOrderHistory,View,TastyBytes,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/tastybytesdb/tastybytes/view/vw_customerorderhistory.sql,Extracted,
TastyBytesDB.TastyBytes.vw_DailySalesSummary,View,TastyBytes,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/tastybytesdb/tastybytes/view/vw_dailysalessummary.sql,Extracted,
TastyBytesDB.TastyBytes.vw_MenuPricing,View,TastyBytes,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/tastybytesdb/tastybytes/view/vw_menupricing.sql,Extracted,
TastyBytesDB.TastyBytes.vw_TopSellingItems,View,TastyBytes,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/tastybytesdb/tastybytes/view/vw_topsellingitems.sql,Extracted,
TastyBytesDB.TastyBytes.fn_FormatPhoneNumber(VARCHAR),Function,TastyBytes,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,Extracted,
TastyBytesDB.TastyBytes.fn_ParseTruckConfigJSON(INT),Function,TastyBytes,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,Extracted,
"TastyBytesDB.TastyBytes.sp_UpdateInventory(INT,DATETIME)",Procedure,TastyBytes,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/artifacts/source_raw/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,Extracted,
