File,Technology,Keyword,Count
/database/tastybytesdb.sql,SQL,collate,1
/database/tastybytesdb.sql,SQL,create database,1
/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,SQL,=,7
/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,SQL,as,1
/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,SQL,begin,1
/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,SQL,create function,1
/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,SQL,declare,2
/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,SQL,else,2
/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,SQL,end,1
/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,SQL,go,1
/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,SQL,if,2
/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,SQL,left,2
/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,SQL,len,2
/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,SQL,return,1
/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,SQL,returns,1
/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,SQL,right,2
/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,SQL,set,5
/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,SQL,stuff,1
/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,SQL,substring,3
/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,SQL,use,1
/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,SQL,varchar,4
/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,SQL,while,1
/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,SQL,+,12
/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,SQL,>,1
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,=,3
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,and,2
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,apply,1
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,as,2
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,begin,1
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,bit,1
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,cast,1
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,count,1
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,create function,1
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,cross,1
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,declare,1
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,end,1
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,from,1
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,go,1
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,int,3
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,is not null,1
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,isnull,1
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,json_value,1
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,openjson,1
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,return,1
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,returns,1
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,select,1
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,use,1
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,value,1
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,where,1
/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,SQL,*,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,=,7
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,@@rowcount,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,and,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,as,3
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,begin,2
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,coalesce,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,create procedure,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,datetime,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,declare,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,end,2
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,getdate,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,go,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,if,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,int,2
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,is null,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,null,2
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,on,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,return,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,select,2
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,set,3
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,update,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,use,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,where,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,*,1
/tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,SQL,<=,1
/tastybytesdb/tastybytes/table/customer.sql,SQL,bit,1
/tastybytesdb/tastybytes/table/customer.sql,SQL,collate,4
/tastybytesdb/tastybytes/table/customer.sql,SQL,constraint,5
/tastybytesdb/tastybytes/table/customer.sql,SQL,create table,1
/tastybytesdb/tastybytes/table/customer.sql,SQL,date,1
/tastybytesdb/tastybytes/table/customer.sql,SQL,datetime,2
/tastybytesdb/tastybytes/table/customer.sql,SQL,default,5
/tastybytesdb/tastybytes/table/customer.sql,SQL,getdate,2
/tastybytesdb/tastybytes/table/customer.sql,SQL,go,1
/tastybytesdb/tastybytes/table/customer.sql,SQL,identity,1
/tastybytesdb/tastybytes/table/customer.sql,SQL,int,3
/tastybytesdb/tastybytes/table/customer.sql,SQL,newid,1
/tastybytesdb/tastybytes/table/customer.sql,SQL,not null,8
/tastybytesdb/tastybytes/table/customer.sql,SQL,null,4
/tastybytesdb/tastybytes/table/customer.sql,SQL,nvarchar,2
/tastybytesdb/tastybytes/table/customer.sql,SQL,uniqueidentifier,1
/tastybytesdb/tastybytes/table/customer.sql,SQL,use,1
/tastybytesdb/tastybytes/table/customer.sql,SQL,varchar,2
/tastybytesdb/tastybytes/table/foodtruck.sql,SQL,bit,1
/tastybytesdb/tastybytes/table/foodtruck.sql,SQL,collate,3
/tastybytesdb/tastybytes/table/foodtruck.sql,SQL,constraint,4
/tastybytesdb/tastybytes/table/foodtruck.sql,SQL,create table,1
/tastybytesdb/tastybytes/table/foodtruck.sql,SQL,datetime,2
/tastybytesdb/tastybytes/table/foodtruck.sql,SQL,default,4
/tastybytesdb/tastybytes/table/foodtruck.sql,SQL,getdate,1
/tastybytesdb/tastybytes/table/foodtruck.sql,SQL,go,1
/tastybytesdb/tastybytes/table/foodtruck.sql,SQL,identity,1
/tastybytesdb/tastybytes/table/foodtruck.sql,SQL,int,4
/tastybytesdb/tastybytes/table/foodtruck.sql,SQL,max,1
/tastybytesdb/tastybytes/table/foodtruck.sql,SQL,newid,1
/tastybytesdb/tastybytes/table/foodtruck.sql,SQL,not null,8
/tastybytesdb/tastybytes/table/foodtruck.sql,SQL,null,3
/tastybytesdb/tastybytes/table/foodtruck.sql,SQL,nvarchar,2
/tastybytesdb/tastybytes/table/foodtruck.sql,SQL,uniqueidentifier,1
/tastybytesdb/tastybytes/table/foodtruck.sql,SQL,use,1
/tastybytesdb/tastybytes/table/foodtruck.sql,SQL,varchar,1
/tastybytesdb/tastybytes/table/menu.sql,SQL,bit,1
/tastybytesdb/tastybytes/table/menu.sql,SQL,collate,3
/tastybytesdb/tastybytes/table/menu.sql,SQL,constraint,4
/tastybytesdb/tastybytes/table/menu.sql,SQL,create table,1
/tastybytesdb/tastybytes/table/menu.sql,SQL,date,2
/tastybytesdb/tastybytes/table/menu.sql,SQL,datetime,1
/tastybytesdb/tastybytes/table/menu.sql,SQL,default,4
/tastybytesdb/tastybytes/table/menu.sql,SQL,getdate,2
/tastybytesdb/tastybytes/table/menu.sql,SQL,go,1
/tastybytesdb/tastybytes/table/menu.sql,SQL,identity,1
/tastybytesdb/tastybytes/table/menu.sql,SQL,int,2
/tastybytesdb/tastybytes/table/menu.sql,SQL,money,1
/tastybytesdb/tastybytes/table/menu.sql,SQL,not null,8
/tastybytesdb/tastybytes/table/menu.sql,SQL,ntext,1
/tastybytesdb/tastybytes/table/menu.sql,SQL,null,2
/tastybytesdb/tastybytes/table/menu.sql,SQL,nvarchar,2
/tastybytesdb/tastybytes/table/menu.sql,SQL,use,1
/tastybytesdb/tastybytes/table/menuitem.sql,SQL,bit,3
/tastybytesdb/tastybytes/table/menuitem.sql,SQL,collate,2
/tastybytesdb/tastybytes/table/menuitem.sql,SQL,constraint,4
/tastybytesdb/tastybytes/table/menuitem.sql,SQL,create table,1
/tastybytesdb/tastybytes/table/menuitem.sql,SQL,datetime,1
/tastybytesdb/tastybytes/table/menuitem.sql,SQL,decimal,1
/tastybytesdb/tastybytes/table/menuitem.sql,SQL,default,4
/tastybytesdb/tastybytes/table/menuitem.sql,SQL,getdate,1
/tastybytesdb/tastybytes/table/menuitem.sql,SQL,go,1
/tastybytesdb/tastybytes/table/menuitem.sql,SQL,identity,1
/tastybytesdb/tastybytes/table/menuitem.sql,SQL,int,3
/tastybytesdb/tastybytes/table/menuitem.sql,SQL,max,1
/tastybytesdb/tastybytes/table/menuitem.sql,SQL,money,1
/tastybytesdb/tastybytes/table/menuitem.sql,SQL,not null,9
/tastybytesdb/tastybytes/table/menuitem.sql,SQL,null,3
/tastybytesdb/tastybytes/table/menuitem.sql,SQL,nvarchar,2
/tastybytesdb/tastybytes/table/menuitem.sql,SQL,timestamp,1
/tastybytesdb/tastybytes/table/menuitem.sql,SQL,use,1
/tastybytesdb/tastybytes/table/employeeshift.sql,SQL,collate,2
/tastybytesdb/tastybytes/table/employeeshift.sql,SQL,constraint,2
/tastybytesdb/tastybytes/table/employeeshift.sql,SQL,create table,1
/tastybytesdb/tastybytes/table/employeeshift.sql,SQL,date,1
/tastybytesdb/tastybytes/table/employeeshift.sql,SQL,datetime,3
