AppType,cli
AppVersion,2.29.0-Pr.424
BasicCursor,0
CaseInsensitiveCollationColumns,27
CC_UNSUPPORTED_EXPR_NONDET_COUNT,0
CC_UNSUPPORTED_EXPR_UDF_COUNT,0
CloseSession,2026/05/26 10:38:22 -06:00
CodeCompletenessScore,84
CodeUnitsOutOfScope,0
CodeUnitsOutOfScopePercentage,0
CommentObjectsWithMissingDependencies,Off
ConversionSpeed,62
CoreVersion,186.0.0.0
CreateSession,2026/05/26 10:38:16 -06:00
CursorForUpdate,0
CursorsWithVariablesOrParameters,0
CustomDatabaseName,None
CustomSchemaName,None
DisableEwiCommentsGeneration,Off
DynamicExecuteStatements,0
DynamicInsertStatements,0
DynamicProcedureCallStatements,0
DynamicTotalStatements,0
DynamicTotalTables,0
DynamicTotalViews,0
ElapsedTime,00:00:05
EncodingOfTheInputFiles,Unicode (UTF-8)
EndConversion,2026/05/26 10:38:22 -06:00
ExtensibilityAPI_Version,0
ExternalRulesCount,0
ExternalRulesExecuted,0
FetchInLoop,0
FetchStatement,0
FilesWithUnexpectedEncoding,0
FillSymbolStep1Time,0.417367
FillSymbolStep2Time,1.263823
FullyConvertedCodeUnitsRate,90
FunctionalDifferenceMessages,55
FunctionCharacterConversionRate,92.89
FunctionFullyConvertedOccurrences,0
FunctionInlineTableValuedCount,0
FunctionLoCConversionRate,94.12
FunctionMultiStatementScalarCount,2
FunctionMultiStatementTableValuedCount,0
FunctionObjectConversionRate,0
FunctionScalarCount,2
FunctionSimpleScalarCount,0
FunctionsTransformedToProcedures,0
FunctionsTransformedToSnowScript,1
FunctionsWithBasicCursor,0
FunctionsWithCursorForUpdate,0
FunctionsWithCursorsWithVariablesOrParameters,0
FunctionsWithDynamicExecuteStatements,0
FunctionsWithDynamicInsertStatements,0
FunctionsWithFetchInLoop,0
FunctionsWithFetchStatement,0
FunctionsWithNestedCursors,0
FunctionTableValuedLoc,0
FunctionTotalCharacters,1589
FunctionTotalConversionErrors,0
FunctionTotalLinesOfCode,51
FunctionTotalOccurrences,2
FunctionTotalParsingErrors,0
FunctionTotalWarnings,3
GlobalTemporaryTables,0
GrantStatementLinesOfCode,0
GrantStatements,0
InvalidEncodings,0
InvalidExtensions,0
InvalidSystemObjects,0
JavaScriptAsTargetLanguage,Off
LicenseData,
MaterializedViewCharacterConversionRate,0
MaterializedViewFullyConvertedOccurrences,0
MaterializedViewLoCConversionRate,0
MaterializedViewObjectConversionRate,0
MaterializedViewsReferencingMultipleObjects,0
MaterializedViewTotalCharacters,0
MaterializedViewTotalConversionErrors,0
MaterializedViewTotalLinesOfCode,0
MaterializedViewTotalOccurrences,0
MaterializedViewTotalParsingErrors,0
MaterializedViewTotalWarnings,0
MigrationId,JmWeAWK07nK+5zZKD9nimA==
NestedCursors,0
NestedTransactionsInTransactions,0
ObjectConversionRate,81.82
ObjectsSuccessfullyConverted,18
OSVersion,Unix 26.4.1
OtherCriticalIssues,2
ParsingTime,0.456124
PartitionKey,d51cdf6f-9d15-453e-ba54-f4159df3958b
PerformanceReviews,28
PreConversionAssessmentTime,0.369799
PrepareMyCodeForConversion,Off
PreprocessingTime,0.239694
ProcedureCharacterConversionRate,100
ProcedureCursorOccurrences,0
ProcedureFullyConvertedOccurrences,1
ProcedureLoCConversionRate,100
ProcedureLoopOccurrences,0
ProcedureObjectConversionRate,100
ProceduresWithBasicCursor,0
ProceduresWithCursorForUpdate,0
ProceduresWithCursorsWithVariablesOrParameters,0
ProceduresWithDynamicExecuteStatements,0
ProceduresWithDynamicInsertStatements,0
ProceduresWithFetchInLoop,0
ProceduresWithFetchStatement,0
ProceduresWithNestedCursors,0
ProcedureTotalCharacters,853
ProcedureTotalConversionErrors,0
ProcedureTotalLinesOfCode,27
ProcedureTotalOccurrences,1
ProcedureTotalParsingErrors,0
ProcedureTotalWarnings,2
ProductName,Snowflake Snow Conversion Tool
ResolveDependencyTime,0
RunAsAdmin,Data not provided
ScalarFunctionLoc,51
SnowflakeAccountIdentifier,SFSEHOL-SUMMIT_26_MI203_TEST_UYWBKU
SnowflakeScriptingAsTargetLanguage,On
SnowflakeUser,USER
SnowScript,True
SourceLanguage,Transact
SqlCharacterConversionRate,95.11
SqlFileCount,23
SqlFilesConversionRate,100
SqlFilesNotGenerated,0
SqlFullyConvertedOccurrences,22
SqlFunctionCharacterConversionRate,92.89
SqlFunctionFullyConvertedOccurrences,0
SqlFunctionLoCConversionRate,94.12
SqlFunctionObjectConversionRate,0
SqlFunctionTotalCharacters,1589
SqlFunctionTotalConversionErrors,0
SqlFunctionTotalLinesOfCode,51
SqlFunctionTotalOccurrences,2
SqlFunctionTotalParsingErrors,0
SqlFunctionTotalWarnings,3
SqlIndexTotalConversionErrors,0
SqlIndexTotalLinesOfCode,0
SqlIndexTotalOccurrences,0
SqlIndexTotalParsingErrors,0
SqlLinesCount,369
SqlLoCConversionRate,94.58
SqlMaterializedViewCharacterConversionRate,0
SqlMaterializedViewFullyConvertedOccurrences,0
SqlMaterializedViewLoCConversionRate,0
SqlMaterializedViewObjectConversionRate,0
SqlMaterializedViewTotalCharacters,0
SqlMaterializedViewTotalConversionErrors,0
SqlMaterializedViewTotalLinesOfCode,0
SqlMaterializedViewTotalOccurrences,0
SqlMaterializedViewTotalParsingErrors,0
SqlMaterializedViewTotalWarnings,0
SqlProcedureCharacterConversionRate,100
SqlProcedureFullyConvertedOccurrences,1
SqlProcedureLoCConversionRate,100
SqlProcedureObjectConversionRate,100
SqlProcedureTotalCharacters,853
SqlProcedureTotalConversionErrors,0
SqlProcedureTotalLinesOfCode,27
SqlProcedureTotalOccurrences,1
SqlProcedureTotalParsingErrors,0
SqlProcedureTotalWarnings,2
SqlSizeMB,0.01MB
SqlTableCharacterConversionRate,99.67
SqlTableFullyConvertedOccurrences,10
SqlTableLoCConversionRate,99.21
SqlTableObjectConversionRate,90.91
SqlTableTotalCharacters,5843
SqlTableTotalConversionErrors,0
SqlTableTotalLinesOfCode,126
SqlTableTotalOccurrences,11
SqlTableTotalParsingErrors,0
SqlTableTotalWarnings,61
SqlTotalCharacters,12486
SqlTotalConversionErrors,0
SqlTotalOccurrences,28
SqlTotalParsingErrors,1
SqlTotalWarnings,74
SqlTriggerCharacterConversionRate,0
SqlTriggerFullyConvertedOccurrences,0
SqlTriggerLoCConversionRate,0
SqlTriggerObjectConversionRate,0
SqlTriggerTotalCharacters,0
SqlTriggerTotalConversionErrors,0
SqlTriggerTotalLinesOfCode,0
SqlTriggerTotalOccurrences,0
SqlTriggerTotalParsingErrors,0
SqlTriggerTotalWarnings,0
SqlUnrecognizedElementsLOC,0
SqlViewCharacterConversionRate,87.89
SqlViewFullyConvertedOccurrences,4
SqlViewLoCConversionRate,87.5
SqlViewObjectConversionRate,80
SqlViewTotalCharacters,3237
SqlViewTotalConversionErrors,0
SqlViewTotalLinesOfCode,112
SqlViewTotalOccurrences,5
SqlViewTotalParsingErrors,0
SqlViewTotalWarnings,2
StartConversion,2026/05/26 10:38:16 -06:00
SystemCPU,Data not provided
SystemRAM,Data not provided
TableCharacterConversionRate,99.67
TableFullyConvertedOccurrences,10
TableLoCConversionRate,99.21
TableObjectConversionRate,90.91
TablesTransformationTarget,Regular
TablesWithCaseInsensitiveCollationColumns,11
TableTotalCharacters,5843
TableTotalConversionErrors,0
TableTotalLinesOfCode,126
TableTotalOccurrences,11
TableTotalParsingErrors,0
TableTotalWarnings,61
TargetLagValue,1 day
TemporaryTables,0
TotalCharacterConversionRate,95.11
TotalCodeUnits,50
TotalConversionErrors,0
TotalConvertedLines,349
TotalErrors,7
TotalFiles,23
TotalFilesNotGenerated,0
TotalIdentifiedObjects,22
TotalInvalidFiles,0
TotalLinesOfCode,369
TotalLoCConversionRate,94.58
TotalMissingObjectReferences,8
TotalNonParsingTransformationExceptions,0
TotalOtherEWIs,5
TotalParsingErrors,1
TotalParsingEWIs,1
TotalPowerBiFiles,0
TotalSize,14.29KB
TotalValidatedFiles,0
TotalWarnings,88
TransactionsWithNestedTransactions,0
TransformationTime,0.470937
TransformUseDatabase,0
TriggerCharacterConversionRate,0
TriggerFullyConvertedOccurrences,0
TriggerLinesOfCode,0
TriggerLoCConversionRate,0
TriggerObjectConversionRate,0
Triggers,0
TriggerTotalCharacters,0
TriggerTotalConversionErrors,0
TriggerTotalLinesOfCode,0
TriggerTotalOccurrences,0
TriggerTotalParsingErrors,0
TriggerTotalWarnings,0
TypeAliasCount,0
TypeArrayCount,0
TypeObjectCount,0
UdfCallsInDDLCount,0
UdfCallsInDMLCount,0
UniqueFDMs,5
UniqueMissingObjectReferences,6
UniqueOtherCriticalIssues,1
UniqueParsingIssues,1
UniquePRFs,2
UnrecognizedElements,0
UnrecognizedElementsLOC,0
UnScopeCFunctionsLoC,0
UnScopeCFunctionsObjects,0
UnScopeCProceduresLoC,0
UnScopeCProceduresObjects,0
UnScopeJavaFunctionsLoC,0
UnScopeJavaFunctionsObjects,0
UnScopeJavaProceduresLoC,0
UnScopeJavaProceduresObjects,0
UseCharactersConversionRate,Off
UseExistingNameQualification,Off
UseIntervalDatatype,False
UseLinesOfCodeConversionRate,Off
UseNoneSchema,On
ViewCharacterConversionRate,87.89
ViewFullyConvertedOccurrences,4
ViewLoCConversionRate,87.5
ViewObjectConversionRate,80
ViewsWithSelectAsteriskOnly,0
ViewTotalCharacters,3237
ViewTotalConversionErrors,0
ViewTotalLinesOfCode,112
ViewTotalOccurrences,5
ViewTotalParsingErrors,0
ViewTotalWarnings,2
WarehouseName,UPDATE_DUMMY_WAREHOUSE
WorkloadName,
