SessionID,FileName,Category,Grammar Element,File Type,Total Count,Not Converted Count (Self),Source Language,MigrationID
d51cdf6f-9d15-453e-ba54-f4159df3958b,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/source/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,Operator,OPENJSON,SQL,1,1,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/source/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,Statement,DECLARE VARIABLE,SQL,4,0,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/source/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,Statement,DECLARE,SQL,4,0,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/source/tastybytesdb/tastybytes/view/vw_menupricing.sql,Functions & Expressions,MIN,SQL,1,0,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/source/tastybytesdb/etl_results/table/etl_logs.sql,Common Clause,COLLATE,SQL,28,1,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/source/tastybytesdb/etl_results/table/etl_logs.sql,Data Type,DATETIME,SQL,19,0,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/source/tastybytesdb/tastybytes/view/vw_dailysalessummary.sql,DDL,CREATE VIEW,SQL,5,0,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/source/tastybytesdb/etl_results/table/etl_logs.sql,DDL,CREATE TABLE,SQL,11,0,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/source/tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,Statement - Control of Flow,WHILE,SQL,1,0,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/source/tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,Statement,RETURN,SQL,3,0,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/source/tastybytesdb/tastybytes/table/orderdetail.sql,DDL Content,NULL COLUMN,SQL,28,0,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/source/tastybytesdb/tastybytes/view/vw_topsellingitems.sql,Query,CROSS APPLY,SQL,2,2,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/source/database/tastybytesdb.sql,DDL,CREATE DATABASE,SQL,1,0,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/source/tastybytesdb/tastybytes/view/vw_dailysalessummary.sql,Query,SELECT,SQL,10,1,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/source/tastybytesdb/tastybytes/view/vw_dailysalessummary.sql,Functions & Expressions,SUM,SQL,5,3,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,/Users/aaguilarmoya/projects/sfguide-scai-e2e-ssis-migration/etl/daily_sales_agg.dtsx.sql,Functions & Expressions,CURRENT_TIMESTAMP,SQL,2,0,Transact,JmWeAWK07nK+5zZKD9nimA==
d51cdf6f-9d15-453e-ba54-f4159df3958b,/Users/aaguilarmoya/projects/sfquickstarts/sql-server-migration/source/tastybytesdb/tastybytes/table/country.sql,Data Type,CHAR,SQL,2,0,Transact,JmWeAWK07nK+5zZKD9nimA==
