caller_id,referenced_id,is_missing
TastyBytesDB.TastyBytes.fn_FormatPhoneNumber(VARCHAR),PUBLIC.PATINDEX_UDF(),False
TastyBytesDB.TastyBytes.fn_ParseTruckConfigJSON(INT),PUBLIC.OPENJSON_UDF(),False
TastyBytesDB.TastyBytes.vw_ActiveTrucks,TastyBytesDB.TastyBytes,False
TastyBytesDB.TastyBytes.vw_ActiveTrucks,TastyBytesDB.TastyBytes.Country,False
TastyBytesDB.TastyBytes.vw_ActiveTrucks,TastyBytesDB.TastyBytes.City,False
TastyBytesDB.TastyBytes.vw_ActiveTrucks,TastyBytesDB.TastyBytes.FoodTruck,False
TastyBytesDB.TastyBytes.Menu,TastyBytesDB.TastyBytes,False
TastyBytesDB.etl_results.etl_logs,TastyBytesDB.etl_results,False
daily_sales_agg.Package\df_load_daily_sales\OrderDetailSource,[TastyBytes].[OrderDetail],True
TastyBytesDB.TastyBytes.vw_DailySalesSummary,TastyBytesDB.TastyBytes,False
TastyBytesDB.TastyBytes.vw_DailySalesSummary,TastyBytesDB.TastyBytes.OrderHeader,False
TastyBytesDB.TastyBytes.vw_DailySalesSummary,TastyBytesDB.TastyBytes.City,False
TastyBytesDB.TastyBytes.vw_DailySalesSummary,TastyBytesDB.TastyBytes.FoodTruck,False
TastyBytesDB.TastyBytes.vw_CustomerOrderHistory,TastyBytesDB.TastyBytes,False
TastyBytesDB.TastyBytes.vw_CustomerOrderHistory,TastyBytesDB.TastyBytes.OrderHeader,False
TastyBytesDB.TastyBytes.vw_CustomerOrderHistory,TastyBytesDB.TastyBytes.Customer,False
TastyBytesDB.TastyBytes.vw_CustomerOrderHistory,TastyBytesDB.TastyBytes.FoodTruck,False
TastyBytesDB.TastyBytes.vw_TopSellingItems,TastyBytesDB.TastyBytes,False
TastyBytesDB.TastyBytes.vw_TopSellingItems,TastyBytesDB.TastyBytes.OrderDetail,False
TastyBytesDB.TastyBytes.vw_TopSellingItems,TastyBytesDB.TastyBytes.MenuItem,False
TastyBytesDB.TastyBytes.vw_TopSellingItems,TastyBytesDB.TastyBytes.OrderHeader,False
TastyBytesDB.TastyBytes.vw_TopSellingItems,TastyBytesDB.TastyBytes.FoodTruck,False
TastyBytesDB.TastyBytes.MenuItem,TastyBytesDB.TastyBytes,False
daily_sales_agg.Package\df_load_daily_sales\OLE DB Destination,[TastyBytes].[DailySalesAgg],True
TastyBytesDB.TastyBytes.Inventory,TastyBytesDB.TastyBytes,False
TastyBytesDB.TastyBytes.fn_FormatPhoneNumber(VARCHAR),TastyBytesDB.TastyBytes,False
TastyBytesDB.TastyBytes.EmployeeShift,TastyBytesDB.TastyBytes,False
TastyBytesDB.dbo,TastyBytesDB,False
TastyBytesDB.TastyBytes.OrderDetail,TastyBytesDB.TastyBytes,False
"TastyBytesDB.TastyBytes.sp_UpdateInventory(INT,DATETIME)",TastyBytesDB.TastyBytes,False
"TastyBytesDB.TastyBytes.sp_UpdateInventory(INT,DATETIME)",TastyBytesDB.TastyBytes.Inventory,False
TastyBytesDB.TastyBytes.OrderHeader,TastyBytesDB.TastyBytes,False
TastyBytesDB.TastyBytes.Country,TastyBytesDB.TastyBytes,False
TastyBytesDB.TastyBytes,TastyBytesDB,False
TastyBytesDB.TastyBytes.City,TastyBytesDB.TastyBytes,False
TastyBytesDB.TastyBytes.FoodTruck,TastyBytesDB.TastyBytes,False
TastyBytesDB.TastyBytes.fn_ParseTruckConfigJSON(INT),TastyBytesDB.TastyBytes,False
TastyBytesDB.TastyBytes.fn_ParseTruckConfigJSON(INT),TastyBytesDB.TastyBytes.FoodTruck,False
daily_sales_agg.Package\df_load_daily_sales\OrderHeader,[TastyBytes].[OrderHeader],True
TastyBytesDB.etl_results,TastyBytesDB,False
TastyBytesDB.TastyBytes.vw_MenuPricing,TastyBytesDB.TastyBytes,False
TastyBytesDB.TastyBytes.vw_MenuPricing,TastyBytesDB.TastyBytes.MenuItem,False
TastyBytesDB.TastyBytes.vw_MenuPricing,TastyBytesDB.TastyBytes.Menu,False
TastyBytesDB.TastyBytes.Customer,TastyBytesDB.TastyBytes,False
