Function,Count,Category,MigrationStatus
GETDATE,12,Built_In,Transformation
RIGHT,2,Built_In,Transformation
SUBSTRING,3,Built_In,Transformation
LEFT,2,Built_In,Transformation
LEN,2,Built_In,Transformation
STUFF,1,Built_In,Transformation
PATINDEX,2,Built_In,Transformation
NEWID,2,Built_In,Transformation
ISNULL,1,Built_In,Transformation
JSON_VALUE,1,Built_In,Transformation
OPENJSON,1,Built_In,Transformation
COUNT,3,Built_In,Transformation
AVG,2,Built_In,Transformation
SUM,5,Built_In,Transformation
COALESCE,1,Built_In,Transformation
MAX,1,Built_In,Transformation
MIN,1,Built_In,Transformation
