sql_object_id,file_path,sql_object_type,presence,line_number,lines_of_code,deployment_order
TastyBytesDB.TastyBytes.EmployeeShift,tastybytesdb/tastybytes/table/employeeshift.sql,TABLE,BOTH,3,12,0
TastyBytesDB.TastyBytes.MenuItem,tastybytesdb/tastybytes/table/menuitem.sql,TABLE,BOTH,3,14,0
TastyBytesDB.TastyBytes.Country,tastybytesdb/tastybytes/table/country.sql,TABLE,BOTH,3,11,0
TastyBytesDB.TastyBytes.OrderDetail,tastybytesdb/tastybytes/table/orderdetail.sql,TABLE,BOTH,3,10,0
TastyBytesDB.TastyBytes.fn_FormatPhoneNumber(VARCHAR),tastybytesdb/tastybytes/function/fn_formatphonenumber.sql,FUNCTION,BOTH,6,29,0
"TastyBytesDB.TastyBytes.sp_UpdateInventory(INT,DATETIME)",tastybytesdb/tastybytes/procedure/sp_updateinventory.sql,PROCEDURE,BOTH,9,27,1
TastyBytesDB.dbo,tastybytesdb/schema/dbo.sql,SCHEMA,BOTH,3,1,0
TastyBytesDB.TastyBytes.Customer,tastybytesdb/tastybytes/table/customer.sql,TABLE,BOTH,3,14,0
TastyBytesDB.TastyBytes.vw_ActiveTrucks,tastybytesdb/tastybytes/view/vw_activetrucks.sql,VIEW,BOTH,7,18,1
TastyBytesDB.TastyBytes.vw_MenuPricing,tastybytesdb/tastybytes/view/vw_menupricing.sql,VIEW,BOTH,7,29,1
TastyBytesDB,database/tastybytesdb.sql,DATABASE,BOTH,1,1,0
TastyBytesDB.TastyBytes.vw_DailySalesSummary,tastybytesdb/tastybytes/view/vw_dailysalessummary.sql,VIEW,BOTH,7,19,1
TastyBytesDB.TastyBytes,tastybytesdb/schema/tastybytes.sql,SCHEMA,BOTH,3,1,0
TastyBytesDB.TastyBytes.fn_ParseTruckConfigJSON(INT),tastybytesdb/tastybytes/function/fn_parsetruckconfigjson.sql,FUNCTION,BOTH,9,22,1
TastyBytesDB.TastyBytes.Inventory,tastybytesdb/tastybytes/table/inventory.sql,TABLE,BOTH,3,11,0
TastyBytesDB.TastyBytes.OrderHeader,tastybytesdb/tastybytes/table/orderheader.sql,TABLE,BOTH,3,14,0
TastyBytesDB.TastyBytes.Menu,tastybytesdb/tastybytes/table/menu.sql,TABLE,BOTH,3,12,0
TastyBytesDB.etl_results.etl_logs,tastybytesdb/etl_results/table/etl_logs.sql,TABLE,BOTH,3,5,0
TastyBytesDB.TastyBytes.City,tastybytesdb/tastybytes/table/city.sql,TABLE,BOTH,3,10,0
TastyBytesDB.TastyBytes.vw_CustomerOrderHistory,tastybytesdb/tastybytes/view/vw_customerorderhistory.sql,VIEW,BOTH,6,19,1
TastyBytesDB.TastyBytes.FoodTruck,tastybytesdb/tastybytes/table/foodtruck.sql,TABLE,BOTH,3,13,0
TastyBytesDB.TastyBytes.vw_TopSellingItems,tastybytesdb/tastybytes/view/vw_topsellingitems.sql,VIEW,BOTH,6,27,1
TastyBytesDB.etl_results,tastybytesdb/schema/etl_results.sql,SCHEMA,BOTH,3,1,0
PUBLIC.OPENJSON_UDF(),UDF Helpers/JSON_UDF.sql,FUNCTION,SNOWFLAKE_ONLY,,,0
PUBLIC.PATINDEX_UDF(),UDF Helpers/PATINDEX_UDF.sql,FUNCTION,SNOWFLAKE_ONLY,,,0
